TransData v2.3
Copyright (c) 2001-2011 by George Moromisato. All Rights Reserved.

Loading...done.
pass 1...
pass 2...
pass 3...
pass 4...
pass 5...
pass 6...
pass 7...
pass 8...
pass 9...
pass 10...
LABEL STATISTICS

Total labels: 300.00
inorganicEnv,hydroidEco,ReenuRace,level11: 0.50 (0.16%)
inorganicEnv,hydroidEco,ReenuRace,level12: 0.40 (0.13%)
inorganicEnv,hydroidEco,ReenuRace,level13: 0.10 (0.03%)
inorganicEnv,hydroidEco,TesiphonRace: 0.40 (0.13%)
inorganicEnv,hydroidEco,TesiphonRace,GromeRace: 0.10 (0.03%)
inorganicEnv,hydroidEco,TesiphonRace,GromeRace,level11: 0.10 (0.03%)
inorganicEnv,hydroidEco,TesiphonRace,JaxRace: 0.10 (0.03%)
inorganicEnv,hydroidEco,TesiphonRace,JaxRace,level11: 0.10 (0.03%)
inorganicEnv,hydroidEco,TesiphonRace,level11: 0.20 (0.06%)
inorganicEnv,hydroidEco,TesiphonRace,ReenuRace: 0.20 (0.06%)
inorganicEnv,hydroidEco,TorQuanRace: 1.40 (0.46%)
inorganicEnv,hydroidEco,TorQuanRace,GromeRace: 0.80 (0.26%)
inorganicEnv,hydroidEco,TorQuanRace,GromeRace,level11: 0.30 (0.10%)
inorganicEnv,hydroidEco,TorQuanRace,GromeRace,level12: 0.40 (0.13%)
inorganicEnv,hydroidEco,TorQuanRace,GromeRace,level13: 0.10 (0.03%)
inorganicEnv,hydroidEco,TorQuanRace,JaxRace: 0.10 (0.03%)
inorganicEnv,hydroidEco,TorQuanRace,JaxRace,level11: 0.10 (0.03%)
inorganicEnv,hydroidEco,TorQuanRace,level11: 0.70 (0.23%)
inorganicEnv,hydroidEco,TorQuanRace,level12: 0.50 (0.16%)
inorganicEnv,hydroidEco,TorQuanRace,level13: 0.10 (0.03%)
inorganicEnv,hydroidEco,TorQuanRace,level14: 0.10 (0.03%)
inorganicEnv,hydroidEco,TorQuanRace,ReenuRace: 0.40 (0.13%)
inorganicEnv,hydroidEco,TorQuanRace,ReenuRace,level11: 0.30 (0.10%)
inorganicEnv,hydroidEco,TorQuanRace,ReenuRace,level12: 0.10 (0.03%)
inorganicEnv,JaxRace: 5.50 (1.83%)
inorganicEnv,JaxRace,level11: 2.70 (0.90%)
inorganicEnv,JaxRace,level12: 1.70 (0.56%)
inorganicEnv,JaxRace,level13: 0.10 (0.03%)
inorganicEnv,level11: 6.80 (2.26%)
inorganicEnv,level12: 6.70 (2.23%)
inorganicEnv,level13: 3.30 (1.10%)
inorganicEnv,level14: 0.70 (0.23%)
inorganicEnv,primordialEco: 0.70 (0.23%)
inorganicEnv,primordialEco,EfreetRace: 0.20 (0.06%)
inorganicEnv,primordialEco,EfreetRace,GromeRace: 0.20 (0.06%)
inorganicEnv,primordialEco,EfreetRace,GromeRace,level11: 0.20 (0.06%)
inorganicEnv,primordialEco,EfreetRace,level11: 0.20 (0.06%)
inorganicEnv,primordialEco,ErebienRace: 0.10 (0.03%)
inorganicEnv,primordialEco,ErebienRace,JaxRace: 0.10 (0.03%)
inorganicEnv,primordialEco,ErebienRace,JaxRace,level13: 0.10 (0.03%)
inorganicEnv,primordialEco,ErebienRace,level13: 0.10 (0.03%)
inorganicEnv,primordialEco,GromeRace: 0.30 (0.10%)
inorganicEnv,primordialEco,GromeRace,level11: 0.20 (0.06%)
inorganicEnv,primordialEco,GromeRace,level12: 0.10 (0.03%)
inorganicEnv,primordialEco,JaxRace: 0.10 (0.03%)
inorganicEnv,primordialEco,JaxRace,level13: 0.10 (0.03%)
inorganicEnv,primordialEco,level11: 0.50 (0.16%)
inorganicEnv,primordialEco,level12: 0.10 (0.03%)
inorganicEnv,primordialEco,level13: 0.10 (0.03%)
inorganicEnv,primordialEco,ReenuRace: 0.20 (0.06%)
inorganicEnv,primordialEco,ReenuRace,level11: 0.20 (0.06%)
inorganicEnv,primordialEco,TesiphonRace: 0.10 (0.03%)
inorganicEnv,primordialEco,TesiphonRace,level11: 0.10 (0.03%)
inorganicEnv,primordialEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
inorganicEnv,primordialEco,TesiphonRace,ReenuRace,level11: 0.10 (0.03%)
inorganicEnv,primordialEco,TorQuanRace: 0.30 (0.10%)
inorganicEnv,primordialEco,TorQuanRace,GromeRace: 0.10 (0.03%)
inorganicEnv,primordialEco,TorQuanRace,GromeRace,level12: 0.10 (0.03%)
inorganicEnv,primordialEco,TorQuanRace,level11: 0.20 (0.06%)
inorganicEnv,primordialEco,TorQuanRace,level12: 0.10 (0.03%)
inorganicEnv,primordialEco,TorQuanRace,ReenuRace: 0.10 (0.03%)
inorganicEnv,primordialEco,TorQuanRace,ReenuRace,level11: 0.10 (0.03%)
inorganicEnv,ReenuRace: 5.80 (1.93%)
inorganicEnv,ReenuRace,level11: 1.40 (0.46%)
inorganicEnv,ReenuRace,level12: 2.20 (0.73%)
inorganicEnv,ReenuRace,level13: 1.40 (0.46%)
inorganicEnv,ReenuRace,level14: 0.30 (0.10%)
inorganicEnv,TesiphonRace: 2.40 (0.80%)
inorganicEnv,TesiphonRace,GromeRace: 0.40 (0.13%)
inorganicEnv,TesiphonRace,GromeRace,level11: 0.30 (0.10%)
inorganicEnv,TesiphonRace,GromeRace,level13: 0.10 (0.03%)
inorganicEnv,TesiphonRace,JaxRace: 1.20 (0.40%)
inorganicEnv,TesiphonRace,JaxRace,level11: 0.60 (0.20%)
inorganicEnv,TesiphonRace,JaxRace,level12: 0.20 (0.06%)
inorganicEnv,TesiphonRace,level11: 1.00 (0.33%)
inorganicEnv,TesiphonRace,level12: 0.50 (0.16%)
inorganicEnv,TesiphonRace,level13: 0.10 (0.03%)
inorganicEnv,TesiphonRace,ReenuRace: 0.80 (0.26%)
inorganicEnv,TesiphonRace,ReenuRace,level11: 0.10 (0.03%)
inorganicEnv,TesiphonRace,ReenuRace,level12: 0.30 (0.10%)
inorganicEnv,TorQuanRace: 7.00 (2.33%)
inorganicEnv,TorQuanRace,GromeRace: 3.90 (1.30%)
inorganicEnv,TorQuanRace,GromeRace,level11: 1.00 (0.33%)
inorganicEnv,TorQuanRace,GromeRace,level12: 1.40 (0.46%)
inorganicEnv,TorQuanRace,GromeRace,level13: 1.10 (0.36%)
inorganicEnv,TorQuanRace,GromeRace,level14: 0.10 (0.03%)
inorganicEnv,TorQuanRace,JaxRace: 1.70 (0.56%)
inorganicEnv,TorQuanRace,JaxRace,level11: 0.90 (0.30%)
inorganicEnv,TorQuanRace,JaxRace,level12: 0.40 (0.13%)
inorganicEnv,TorQuanRace,level11: 2.60 (0.86%)
inorganicEnv,TorQuanRace,level12: 2.20 (0.73%)
inorganicEnv,TorQuanRace,level13: 1.10 (0.36%)
inorganicEnv,TorQuanRace,level14: 0.30 (0.10%)
inorganicEnv,TorQuanRace,ReenuRace: 1.20 (0.40%)
inorganicEnv,TorQuanRace,ReenuRace,level11: 0.60 (0.20%)
inorganicEnv,TorQuanRace,ReenuRace,level12: 0.40 (0.13%)
inorganicEnv,TorQuanRace,ReenuRace,level14: 0.10 (0.03%)
JaxRace: 49.50 (16.50%)
JaxRace,level11: 18.40 (6.13%)
JaxRace,level12: 13.60 (4.53%)
JaxRace,level13: 7.40 (2.46%)
JaxRace,level14: 2.60 (0.86%)
JaxRace,level15: 0.20 (0.06%)
level11: 57.40 (19.13%)
level11,ancientEnv: 1.20 (0.40%)
level11,ancientEnv,asymorphEco: 0.30 (0.10%)
level11,ancientEnv,asymorphEco,ErebienRace: 0.10 (0.03%)
level11,ancientEnv,asymorphEco,ErebienRace,JaxRace: 0.10 (0.03%)
level11,ancientEnv,asymorphEco,JaxRace: 0.30 (0.10%)
level11,ancientEnv,asymorphEco,TesiphonRace: 0.20 (0.06%)
level11,ancientEnv,asymorphEco,TesiphonRace,JaxRace: 0.20 (0.06%)
level11,ancientEnv,chitometallicEco: 0.10 (0.03%)
level11,ancientEnv,chitometallicEco,ReenuRace: 0.10 (0.03%)
level11,ancientEnv,chitometallicEco,TesiphonRace: 0.10 (0.03%)
level11,ancientEnv,chitometallicEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
level11,ancientEnv,crystallineEco: 0.30 (0.10%)
level11,ancientEnv,crystallineEco,JaxRace: 0.30 (0.10%)
level11,ancientEnv,crystallineEco,TesiphonRace: 0.20 (0.06%)
level11,ancientEnv,crystallineEco,TesiphonRace,JaxRace: 0.20 (0.06%)
level11,ancientEnv,crystallineEco,TorQuanRace: 0.10 (0.03%)
level11,ancientEnv,crystallineEco,TorQuanRace,JaxRace: 0.10 (0.03%)
level11,ancientEnv,ErebienRace: 0.10 (0.03%)
level11,ancientEnv,ErebienRace,JaxRace: 0.10 (0.03%)
level11,ancientEnv,hydroidEco: 0.30 (0.10%)
level11,ancientEnv,hydroidEco,JaxRace: 0.30 (0.10%)
level11,ancientEnv,hydroidEco,TesiphonRace: 0.20 (0.06%)
level11,ancientEnv,hydroidEco,TesiphonRace,JaxRace: 0.20 (0.06%)
level11,ancientEnv,hydroidEco,TorQuanRace: 0.10 (0.03%)
level11,ancientEnv,hydroidEco,TorQuanRace,JaxRace: 0.10 (0.03%)
level11,ancientEnv,JaxRace: 0.90 (0.30%)
level11,ancientEnv,primordialEco: 0.20 (0.06%)
level11,ancientEnv,primordialEco,ReenuRace: 0.20 (0.06%)
level11,ancientEnv,primordialEco,TesiphonRace: 0.20 (0.06%)
level11,ancientEnv,primordialEco,TesiphonRace,ReenuRace: 0.20 (0.06%)
level11,ancientEnv,ReenuRace: 0.30 (0.10%)
level11,ancientEnv,TesiphonRace: 0.90 (0.30%)
level11,ancientEnv,TesiphonRace,JaxRace: 0.60 (0.20%)
level11,ancientEnv,TesiphonRace,ReenuRace: 0.30 (0.10%)
level11,ancientEnv,TorQuanRace: 0.20 (0.06%)
level11,ancientEnv,TorQuanRace,JaxRace: 0.20 (0.06%)
level11,asymorphEco: 2.90 (0.96%)
level11,asymorphEco,EfreetRace: 0.20 (0.06%)
level11,asymorphEco,EfreetRace,JaxRace: 0.20 (0.06%)
level11,asymorphEco,ErebienRace: 0.70 (0.23%)
level11,asymorphEco,ErebienRace,GromeRace: 0.20 (0.06%)
level11,asymorphEco,ErebienRace,JaxRace: 0.40 (0.13%)
level11,asymorphEco,ErebienRace,ReenuRace: 0.10 (0.03%)
level11,asymorphEco,GromeRace: 0.60 (0.20%)
level11,asymorphEco,JaxRace: 1.90 (0.63%)
level11,asymorphEco,ReenuRace: 0.40 (0.13%)
level11,asymorphEco,TesiphonRace: 1.20 (0.40%)
level11,asymorphEco,TesiphonRace,GromeRace: 0.20 (0.06%)
level11,asymorphEco,TesiphonRace,JaxRace: 0.90 (0.30%)
level11,asymorphEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
level11,asymorphEco,TorQuanRace: 0.80 (0.26%)
level11,asymorphEco,TorQuanRace,GromeRace: 0.20 (0.06%)
level11,asymorphEco,TorQuanRace,JaxRace: 0.40 (0.13%)
level11,asymorphEco,TorQuanRace,ReenuRace: 0.20 (0.06%)
level11,chitometallicEco: 1.00 (0.33%)
level11,chitometallicEco,EfreetRace: 0.20 (0.06%)
level11,chitometallicEco,EfreetRace,JaxRace: 0.20 (0.06%)
level11,chitometallicEco,ErebienRace: 0.20 (0.06%)
level11,chitometallicEco,ErebienRace,JaxRace: 0.20 (0.06%)
level11,chitometallicEco,JaxRace: 0.60 (0.20%)
level11,chitometallicEco,ReenuRace: 0.40 (0.13%)
level11,chitometallicEco,TesiphonRace: 0.50 (0.16%)
level11,chitometallicEco,TesiphonRace,JaxRace: 0.20 (0.06%)
level11,chitometallicEco,TesiphonRace,ReenuRace: 0.30 (0.10%)
level11,chitometallicEco,TorQuanRace: 0.10 (0.03%)
level11,chitometallicEco,TorQuanRace,ReenuRace: 0.10 (0.03%)
level11,crystallineEco: 1.50 (0.50%)
level11,crystallineEco,EfreetRace: 0.30 (0.10%)
level11,crystallineEco,EfreetRace,GromeRace: 0.10 (0.03%)
level11,crystallineEco,EfreetRace,ReenuRace: 0.20 (0.06%)
level11,crystallineEco,GromeRace: 0.50 (0.16%)
level11,crystallineEco,JaxRace: 0.30 (0.10%)
level11,crystallineEco,ReenuRace: 0.70 (0.23%)
level11,crystallineEco,TesiphonRace: 0.80 (0.26%)
level11,crystallineEco,TesiphonRace,GromeRace: 0.40 (0.13%)
level11,crystallineEco,TesiphonRace,JaxRace: 0.20 (0.06%)
level11,crystallineEco,TesiphonRace,ReenuRace: 0.20 (0.06%)
level11,crystallineEco,TorQuanRace: 0.40 (0.13%)
level11,crystallineEco,TorQuanRace,JaxRace: 0.10 (0.03%)
level11,crystallineEco,TorQuanRace,ReenuRace: 0.30 (0.10%)
level11,droughtEnv: 0.70 (0.23%)
level11,droughtEnv,chitometallicEco: 0.10 (0.03%)
level11,droughtEnv,chitometallicEco,JaxRace: 0.10 (0.03%)
level11,droughtEnv,chitometallicEco,TesiphonRace: 0.10 (0.03%)
level11,droughtEnv,chitometallicEco,TesiphonRace,JaxRace: 0.10 (0.03%)
level11,droughtEnv,crystallineEco: 0.30 (0.10%)
level11,droughtEnv,crystallineEco,EfreetRace: 0.20 (0.06%)
level11,droughtEnv,crystallineEco,EfreetRace,ReenuRace: 0.20 (0.06%)
level11,droughtEnv,crystallineEco,GromeRace: 0.10 (0.03%)
level11,droughtEnv,crystallineEco,ReenuRace: 0.20 (0.06%)
level11,droughtEnv,crystallineEco,TesiphonRace: 0.10 (0.03%)
level11,droughtEnv,crystallineEco,TesiphonRace,GromeRace: 0.10 (0.03%)
level11,droughtEnv,EfreetRace: 0.40 (0.13%)
level11,droughtEnv,EfreetRace,GromeRace: 0.10 (0.03%)
level11,droughtEnv,EfreetRace,ReenuRace: 0.30 (0.10%)
level11,droughtEnv,GromeRace: 0.30 (0.10%)
level11,droughtEnv,hydroidEco: 0.20 (0.06%)
level11,droughtEnv,hydroidEco,EfreetRace: 0.10 (0.03%)
level11,droughtEnv,hydroidEco,EfreetRace,GromeRace: 0.10 (0.03%)
level11,droughtEnv,hydroidEco,GromeRace: 0.20 (0.06%)
level11,droughtEnv,hydroidEco,TorQuanRace: 0.10 (0.03%)
level11,droughtEnv,hydroidEco,TorQuanRace,GromeRace: 0.10 (0.03%)
level11,droughtEnv,JaxRace: 0.10 (0.03%)
level11,droughtEnv,primordialEco: 0.10 (0.03%)
level11,droughtEnv,primordialEco,EfreetRace: 0.10 (0.03%)
level11,droughtEnv,primordialEco,EfreetRace,ReenuRace: 0.10 (0.03%)
level11,droughtEnv,primordialEco,ReenuRace: 0.10 (0.03%)
level11,droughtEnv,ReenuRace: 0.30 (0.10%)
level11,droughtEnv,TesiphonRace: 0.20 (0.06%)
level11,droughtEnv,TesiphonRace,GromeRace: 0.10 (0.03%)
level11,droughtEnv,TesiphonRace,JaxRace: 0.10 (0.03%)
level11,droughtEnv,TorQuanRace: 0.10 (0.03%)
level11,droughtEnv,TorQuanRace,GromeRace: 0.10 (0.03%)
level11,EfreetRace: 1.20 (0.40%)
level11,EfreetRace,GromeRace: 0.30 (0.10%)
level11,EfreetRace,JaxRace: 0.60 (0.20%)
level11,EfreetRace,ReenuRace: 0.30 (0.10%)
level11,ErebienRace: 1.10 (0.36%)
level11,ErebienRace,GromeRace: 0.30 (0.10%)
level11,ErebienRace,JaxRace: 0.70 (0.23%)
level11,ErebienRace,ReenuRace: 0.10 (0.03%)
level11,GromeRace: 2.00 (0.66%)
level11,hydroidEco: 1.50 (0.50%)
level11,hydroidEco,EfreetRace: 0.10 (0.03%)
level11,hydroidEco,EfreetRace,GromeRace: 0.10 (0.03%)
level11,hydroidEco,ErebienRace: 0.20 (0.06%)
level11,hydroidEco,ErebienRace,GromeRace: 0.10 (0.03%)
level11,hydroidEco,ErebienRace,JaxRace: 0.10 (0.03%)
level11,hydroidEco,GromeRace: 0.70 (0.23%)
level11,hydroidEco,JaxRace: 0.50 (0.16%)
level11,hydroidEco,ReenuRace: 0.30 (0.10%)
level11,hydroidEco,TesiphonRace: 0.80 (0.26%)
level11,hydroidEco,TesiphonRace,GromeRace: 0.20 (0.06%)
level11,hydroidEco,TesiphonRace,JaxRace: 0.30 (0.10%)
level11,hydroidEco,TesiphonRace,ReenuRace: 0.30 (0.10%)
level11,hydroidEco,TorQuanRace: 0.40 (0.13%)
level11,hydroidEco,TorQuanRace,GromeRace: 0.30 (0.10%)
level11,hydroidEco,TorQuanRace,JaxRace: 0.10 (0.03%)
level11,inorganicEnv: 1.00 (0.33%)
level11,inorganicEnv,asymorphEco: 0.50 (0.16%)
level11,inorganicEnv,asymorphEco,ErebienRace: 0.20 (0.06%)
level11,inorganicEnv,asymorphEco,ErebienRace,GromeRace: 0.20 (0.06%)
level11,inorganicEnv,asymorphEco,GromeRace: 0.20 (0.06%)
level11,inorganicEnv,asymorphEco,JaxRace: 0.30 (0.10%)
level11,inorganicEnv,asymorphEco,TesiphonRace: 0.30 (0.10%)
level11,inorganicEnv,asymorphEco,TesiphonRace,JaxRace: 0.30 (0.10%)
level11,inorganicEnv,chitometallicEco: 0.10 (0.03%)
level11,inorganicEnv,chitometallicEco,ErebienRace: 0.10 (0.03%)
level11,inorganicEnv,chitometallicEco,ErebienRace,JaxRace: 0.10 (0.03%)
level11,inorganicEnv,chitometallicEco,JaxRace: 0.10 (0.03%)
level11,inorganicEnv,crystallineEco: 0.20 (0.06%)
level11,inorganicEnv,crystallineEco,ReenuRace: 0.20 (0.06%)
level11,inorganicEnv,crystallineEco,TesiphonRace: 0.10 (0.03%)
level11,inorganicEnv,crystallineEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
level11,inorganicEnv,crystallineEco,TorQuanRace: 0.10 (0.03%)
level11,inorganicEnv,crystallineEco,TorQuanRace,ReenuRace: 0.10 (0.03%)
level11,inorganicEnv,ErebienRace: 0.30 (0.10%)
level11,inorganicEnv,ErebienRace,GromeRace: 0.20 (0.06%)
level11,inorganicEnv,ErebienRace,JaxRace: 0.10 (0.03%)
level11,inorganicEnv,GromeRace: 0.20 (0.06%)
level11,inorganicEnv,hydroidEco: 0.20 (0.06%)
level11,inorganicEnv,hydroidEco,ReenuRace: 0.20 (0.06%)
level11,inorganicEnv,hydroidEco,TesiphonRace: 0.20 (0.06%)
level11,inorganicEnv,hydroidEco,TesiphonRace,ReenuRace: 0.20 (0.06%)
level11,inorganicEnv,JaxRace: 0.40 (0.13%)
level11,inorganicEnv,ReenuRace: 0.40 (0.13%)
level11,inorganicEnv,TesiphonRace: 0.60 (0.20%)
level11,inorganicEnv,TesiphonRace,JaxRace: 0.30 (0.10%)
level11,inorganicEnv,TesiphonRace,ReenuRace: 0.30 (0.10%)
level11,inorganicEnv,TorQuanRace: 0.10 (0.03%)
level11,inorganicEnv,TorQuanRace,ReenuRace: 0.10 (0.03%)
level11,JaxRace: 3.50 (1.16%)
level11,metallicEnv: 2.10 (0.70%)
level11,metallicEnv,asymorphEco: 0.90 (0.30%)
level11,metallicEnv,asymorphEco,ErebienRace: 0.20 (0.06%)
level11,metallicEnv,asymorphEco,ErebienRace,JaxRace: 0.20 (0.06%)
level11,metallicEnv,asymorphEco,GromeRace: 0.30 (0.10%)
level11,metallicEnv,asymorphEco,JaxRace: 0.50 (0.16%)
level11,metallicEnv,asymorphEco,ReenuRace: 0.10 (0.03%)
level11,metallicEnv,asymorphEco,TesiphonRace: 0.50 (0.16%)
level11,metallicEnv,asymorphEco,TesiphonRace,GromeRace: 0.20 (0.06%)
level11,metallicEnv,asymorphEco,TesiphonRace,JaxRace: 0.20 (0.06%)
level11,metallicEnv,asymorphEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
level11,metallicEnv,asymorphEco,TorQuanRace: 0.20 (0.06%)
level11,metallicEnv,asymorphEco,TorQuanRace,GromeRace: 0.10 (0.03%)
level11,metallicEnv,asymorphEco,TorQuanRace,JaxRace: 0.10 (0.03%)
level11,metallicEnv,chitometallicEco: 0.50 (0.16%)
level11,metallicEnv,chitometallicEco,EfreetRace: 0.20 (0.06%)
level11,metallicEnv,chitometallicEco,EfreetRace,JaxRace: 0.20 (0.06%)
level11,metallicEnv,chitometallicEco,JaxRace: 0.30 (0.10%)
level11,metallicEnv,chitometallicEco,ReenuRace: 0.20 (0.06%)
level11,metallicEnv,chitometallicEco,TesiphonRace: 0.30 (0.10%)
level11,metallicEnv,chitometallicEco,TesiphonRace,JaxRace: 0.10 (0.03%)
level11,metallicEnv,chitometallicEco,TesiphonRace,ReenuRace: 0.20 (0.06%)
level11,metallicEnv,crystallineEco: 0.40 (0.13%)
level11,metallicEnv,crystallineEco,EfreetRace: 0.10 (0.03%)
level11,metallicEnv,crystallineEco,EfreetRace,GromeRace: 0.10 (0.03%)
level11,metallicEnv,crystallineEco,GromeRace: 0.40 (0.13%)
level11,metallicEnv,crystallineEco,TesiphonRace: 0.30 (0.10%)
level11,metallicEnv,crystallineEco,TesiphonRace,GromeRace: 0.30 (0.10%)
level11,metallicEnv,EfreetRace: 0.40 (0.13%)
level11,metallicEnv,EfreetRace,GromeRace: 0.20 (0.06%)
level11,metallicEnv,EfreetRace,JaxRace: 0.20 (0.06%)
level11,metallicEnv,ErebienRace: 0.20 (0.06%)
level11,metallicEnv,ErebienRace,JaxRace: 0.20 (0.06%)
level11,metallicEnv,GromeRace: 1.00 (0.33%)
level11,metallicEnv,hydroidEco: 0.20 (0.06%)
level11,metallicEnv,hydroidEco,GromeRace: 0.20 (0.06%)
level11,metallicEnv,hydroidEco,TorQuanRace: 0.20 (0.06%)
level11,metallicEnv,hydroidEco,TorQuanRace,GromeRace: 0.20 (0.06%)
level11,metallicEnv,JaxRace: 0.80 (0.26%)
level11,metallicEnv,primordialEco: 0.10 (0.03%)
level11,metallicEnv,primordialEco,EfreetRace: 0.10 (0.03%)
level11,metallicEnv,primordialEco,EfreetRace,GromeRace: 0.10 (0.03%)
level11,metallicEnv,primordialEco,GromeRace: 0.10 (0.03%)
level11,metallicEnv,ReenuRace: 0.30 (0.10%)
level11,metallicEnv,TesiphonRace: 1.10 (0.36%)
level11,metallicEnv,TesiphonRace,GromeRace: 0.50 (0.16%)
level11,metallicEnv,TesiphonRace,JaxRace: 0.30 (0.10%)
level11,metallicEnv,TesiphonRace,ReenuRace: 0.30 (0.10%)
level11,metallicEnv,TorQuanRace: 0.40 (0.13%)
level11,metallicEnv,TorQuanRace,GromeRace: 0.30 (0.10%)
level11,metallicEnv,TorQuanRace,JaxRace: 0.10 (0.03%)
level11,organicEnv: 1.80 (0.60%)
level11,organicEnv,asymorphEco: 0.80 (0.26%)
level11,organicEnv,asymorphEco,EfreetRace: 0.10 (0.03%)
level11,organicEnv,asymorphEco,EfreetRace,JaxRace: 0.10 (0.03%)
level11,organicEnv,asymorphEco,ErebienRace: 0.20 (0.06%)
level11,organicEnv,asymorphEco,ErebienRace,JaxRace: 0.10 (0.03%)
level11,organicEnv,asymorphEco,ErebienRace,ReenuRace: 0.10 (0.03%)
level11,organicEnv,asymorphEco,GromeRace: 0.10 (0.03%)
level11,organicEnv,asymorphEco,JaxRace: 0.50 (0.16%)
level11,organicEnv,asymorphEco,ReenuRace: 0.20 (0.06%)
level11,organicEnv,asymorphEco,TesiphonRace: 0.10 (0.03%)
level11,organicEnv,asymorphEco,TesiphonRace,JaxRace: 0.10 (0.03%)
level11,organicEnv,asymorphEco,TorQuanRace: 0.40 (0.13%)
level11,organicEnv,asymorphEco,TorQuanRace,GromeRace: 0.10 (0.03%)
level11,organicEnv,asymorphEco,TorQuanRace,JaxRace: 0.20 (0.06%)
level11,organicEnv,asymorphEco,TorQuanRace,ReenuRace: 0.10 (0.03%)
level11,organicEnv,chitometallicEco: 0.20 (0.06%)
level11,organicEnv,chitometallicEco,ErebienRace: 0.10 (0.03%)
level11,organicEnv,chitometallicEco,ErebienRace,JaxRace: 0.10 (0.03%)
level11,organicEnv,chitometallicEco,JaxRace: 0.10 (0.03%)
level11,organicEnv,chitometallicEco,ReenuRace: 0.10 (0.03%)
level11,organicEnv,chitometallicEco,TorQuanRace: 0.10 (0.03%)
level11,organicEnv,chitometallicEco,TorQuanRace,ReenuRace: 0.10 (0.03%)
level11,organicEnv,crystallineEco: 0.30 (0.10%)
level11,organicEnv,crystallineEco,ReenuRace: 0.30 (0.10%)
level11,organicEnv,crystallineEco,TesiphonRace: 0.10 (0.03%)
level11,organicEnv,crystallineEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
level11,organicEnv,crystallineEco,TorQuanRace: 0.20 (0.06%)
level11,organicEnv,crystallineEco,TorQuanRace,ReenuRace: 0.20 (0.06%)
level11,organicEnv,EfreetRace: 0.10 (0.03%)
level11,organicEnv,EfreetRace,JaxRace: 0.10 (0.03%)
level11,organicEnv,ErebienRace: 0.30 (0.10%)
level11,organicEnv,ErebienRace,JaxRace: 0.20 (0.06%)
level11,organicEnv,ErebienRace,ReenuRace: 0.10 (0.03%)
level11,organicEnv,GromeRace: 0.30 (0.10%)
level11,organicEnv,hydroidEco: 0.20 (0.06%)
level11,organicEnv,hydroidEco,GromeRace: 0.10 (0.03%)
level11,organicEnv,hydroidEco,ReenuRace: 0.10 (0.03%)
level11,organicEnv,hydroidEco,TesiphonRace: 0.20 (0.06%)
level11,organicEnv,hydroidEco,TesiphonRace,GromeRace: 0.10 (0.03%)
level11,organicEnv,hydroidEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
level11,organicEnv,JaxRace: 0.60 (0.20%)
level11,organicEnv,primordialEco: 0.30 (0.10%)
level11,organicEnv,primordialEco,GromeRace: 0.10 (0.03%)
level11,organicEnv,primordialEco,ReenuRace: 0.20 (0.06%)
level11,organicEnv,primordialEco,TesiphonRace: 0.30 (0.10%)
level11,organicEnv,primordialEco,TesiphonRace,GromeRace: 0.10 (0.03%)
level11,organicEnv,primordialEco,TesiphonRace,ReenuRace: 0.20 (0.06%)
level11,organicEnv,ReenuRace: 0.90 (0.30%)
level11,organicEnv,TesiphonRace: 0.70 (0.23%)
level11,organicEnv,TesiphonRace,GromeRace: 0.20 (0.06%)
level11,organicEnv,TesiphonRace,JaxRace: 0.10 (0.03%)
level11,organicEnv,TesiphonRace,ReenuRace: 0.40 (0.13%)
level11,organicEnv,TorQuanRace: 0.70 (0.23%)
level11,organicEnv,TorQuanRace,GromeRace: 0.10 (0.03%)
level11,organicEnv,TorQuanRace,JaxRace: 0.20 (0.06%)
level11,organicEnv,TorQuanRace,ReenuRace: 0.40 (0.13%)
level11,primordialEco: 0.90 (0.30%)
level11,primordialEco,EfreetRace: 0.40 (0.13%)
level11,primordialEco,EfreetRace,GromeRace: 0.10 (0.03%)
level11,primordialEco,EfreetRace,JaxRace: 0.20 (0.06%)
level11,primordialEco,EfreetRace,ReenuRace: 0.10 (0.03%)
level11,primordialEco,GromeRace: 0.20 (0.06%)
level11,primordialEco,JaxRace: 0.20 (0.06%)
level11,primordialEco,ReenuRace: 0.50 (0.16%)
level11,primordialEco,TesiphonRace: 0.50 (0.16%)
level11,primordialEco,TesiphonRace,GromeRace: 0.10 (0.03%)
level11,primordialEco,TesiphonRace,ReenuRace: 0.40 (0.13%)
level11,ReenuRace: 2.30 (0.76%)
level11,TesiphonRace: 3.80 (1.26%)
level11,TesiphonRace,GromeRace: 0.90 (0.30%)
level11,TesiphonRace,JaxRace: 1.60 (0.53%)
level11,TesiphonRace,ReenuRace: 1.30 (0.43%)
level11,TorQuanRace: 1.70 (0.56%)
level11,TorQuanRace,GromeRace: 0.50 (0.16%)
level11,TorQuanRace,JaxRace: 0.60 (0.20%)
level11,TorQuanRace,ReenuRace: 0.60 (0.20%)
level11,waterEnv: 1.00 (0.33%)
level11,waterEnv,asymorphEco: 0.40 (0.13%)
