Level	System	Item	Count
6	Galgaliel	silk	0.03
6	Galgaliel	Bombay Sapphire gin	0.03
6	Galgaliel	California Cabernet Sauvignon	0.38
6	Galgaliel	Terran eggs	0.51
6	Galgaliel	frozen Hogei salmon	0.35
6	Galgaliel	dried Europan ice moss	1.26
6	Galgaliel	tailored silk suit	0.06
6	Galgaliel	Misato sake	1.01
6	Galgaliel	Exile Starport Champagne	0.22
6	Galgaliel	Hennessy cognac	0.11
6	Galgaliel	frozen natural ham	0.93
6	Galgaliel	longzhu sphere	0.70
6	Galgaliel	Qianlong archcannon	0.10
6	Galgaliel	Humagen heart and lungs prosthesis	0.06
6	Galgaliel	natural periweed	0.28
6	Galgaliel	genuine leather boots	0.43
6	Galgaliel	Rowena's Weapons and Armor: Volume I	0.02
6	Galgaliel	Rowena's Weapons and Armor: Volume II	0.04
6	Galgaliel	Rowena's Weapons and Armor: Volume III	0.03
6	Galgaliel	titanium barricade	0.04
6	Galgaliel	quad titanium barricade	0.06
6	Galgaliel	helium³ reactor assembly	33.96
6	Galgaliel	pteracnium fuel rod	6.23
6	Galgaliel	weapon enhancement ROM	0.04
6	Galgaliel	Katana star cannon	0.48
6	Galgaliel	hull plate ionizer	0.01
6	Galgaliel	fast-fire laser cannon	0.01
6	Galgaliel	AK15 Partisan cannon	0.04
6	Galgaliel	laser cannon array	0.01
6	Galgaliel	slam cannon	0.18
6	Galgaliel	patcher arm	0.02
6	Galgaliel	heavy water	0.35
6	Galgaliel	visual display enhancement ROM	0.07
6	Galgaliel	decon gel	0.15
6	Galgaliel	radioactive waste	0.43
6	Galgaliel	blast plate	2.36
6	Galgaliel	Akan 30 cannon	0.11
6	Galgaliel	Akan 30 cannon shell cartridge	161.24
6	Galgaliel	hardened reactive armor	0.78
6	Galgaliel	DM600 missile rack	0.03
6	Galgaliel	fusion trigger	0.44
6	Galgaliel	Commonwealth military identification chip	0.01
6	Galgaliel	Commonwealth Medal of Distinction	0.03
6	Galgaliel	lancer cannon	0.14
6	Galgaliel	mark I howitzer	0.31
6	Galgaliel	Yoroi S100 shield generator	0.59
6	Galgaliel	Yoroi S500 shield generator	0.42
6	Galgaliel	Yoroi MX shield generator	0.16
6	Galgaliel	Gusoku armor	3.11
6	Galgaliel	sunflare cannon	0.05
6	Galgaliel	blinder cannon	0.01
6	Galgaliel	monopole deflector screen	0.02
6	Galgaliel	Shuriken neutron blaster	0.50
6	Galgaliel	Nandao bolt cannon	0.33
6	Galgaliel	Nandao bolt cartridge	281.89
6	Galgaliel	Akan 600 turret	0.02
6	Galgaliel	Hanzo blaster	0.04
6	Galgaliel	mark III howitzer	0.44
6	Galgaliel	TeV 9 blaster	0.05
6	Galgaliel	light meteorsteel	0.03
6	Galgaliel	heavy meteorsteel	0.32
6	Galgaliel	ICX missile defense turret	0.21
6	Galgaliel	worldship armor plate	0.13
6	Galgaliel	gem of contrition	0.30
6	Galgaliel	Gotha-10 missile	1.16
6	Galgaliel	Gotha-400 seeker	0.25
6	Galgaliel	P120 Hexphase armor	0.10
6	Galgaliel	P210 Hexphase armor	0.01
6	Galgaliel	1M/i battle auton	0.16
6	Galgaliel	transpace jumpdrive	0.02
6	Galgaliel	omnidirectional particle cannon	0.35
6	Galgaliel	AutoSentinel®	1.13
6	Galgaliel	300D defender auton	0.46
6	Galgaliel	1M battle auton	0.26
6	Galgaliel	platinum cash card	0.05
6	Galgaliel	defective auton	1.17
6	Galgaliel	hypermycin	0.04
6	Galgaliel	artificial plasma	2.06
6	Galgaliel	rejuv tank fluid	0.22
6	Galgaliel	gem of despair	0.34
6	Galgaliel	optical knowledge array	0.12
6	Galgaliel	plasma torch	0.04
6	Galgaliel	R1 deflector	0.03
6	Galgaliel	R5 deflector	0.05
6	Galgaliel	PK25 Morning Star cannon	0.03
6	Galgaliel	xenotite ore	6.69
6	Galgaliel	chronimium gas	3.47
6	Galgaliel	vessel of boson condensate	0.08
6	Galgaliel	quantum vacuum	0.11
6	Galgaliel	Booster	3.13
6	Galgaliel	gram of unlicensed cancer dust	1.50
6	Galgaliel	Nova-25 reactor	0.01
6	Galgaliel	Nova-100 reactor	0.06
6	Galgaliel	inertialess drive	0.03
6	Galgaliel	dual TeV 9 blaster	0.03
6	Galgaliel	defective weapon enhancement ROM	0.02
6	Galgaliel	death cube	0.04
6	Galgaliel	thermo cannon	0.05
6	Galgaliel	thermo cannon shell cartridge	4.68
6	Galgaliel	omnidirectional turbolaser cannon	0.01
6	Galgaliel	omnidirectional TeV 9 blaster	0.01
6	Galgaliel	omnidirectional thermo cannon	0.01
6	Galgaliel	heavy slam cannon	0.17
6	Galgaliel	Makayev launcher	0.50
6	Galgaliel	White Strelka missile	76.00
6	Galgaliel	Green Strelka missile	39.65
6	Galgaliel	Red Strelka missile	11.81
6	Galgaliel	Akan 30 ammunition box	0.06
6	Galgaliel	White Strelka ammunition box	0.37
6	Galgaliel	Cluster MAG ammunition box	0.73
6	Galgaliel	thermo cannon ammunition box	0.23
6	Galgaliel	Red Strelka ammunition box	0.01
6	Galgaliel	contaminated ammunition box	0.18
6	Galgaliel	booby-trapped ammunition box	0.10
6	Galgaliel	ion flame cannon	0.06
6	Galgaliel	heavy ion blaster	0.01
6	Galgaliel	tritium cannon	0.02
6	Galgaliel	Fusionfire howitzer	0.01
6	Galgaliel	NAMI mine launcher	0.05
6	Galgaliel	CRM100 Fatboy mine	0.51
6	Galgaliel	CRM500 Running Man mine	0.26
6	Galgaliel	advanced plasteel armor	0.65
6	Galgaliel	light orthosteel armor	0.32
6	Galgaliel	orthosteel armor	0.19
6	Galgaliel	heavy orthosteel armor	0.09
6	Galgaliel	ceralloy armor	1.57
6	Galgaliel	heavy ceralloy armor	0.63
6	Galgaliel	advanced ceralloy armor	0.59
6	Galgaliel	quadrocarbide armor	0.15
6	Galgaliel	hexacarbide armor	0.04
6	Galgaliel	light blast plate	1.50
6	Galgaliel	heavy blast plate	0.40
6	Galgaliel	light ithalium armor	0.09
6	Galgaliel	ceralloy ore	0.10
6	Galgaliel	orthosteel ore	0.46
6	Galgaliel	ithalium ore	0.28
6	Galgaliel	Nephren P25 shield generator	0.18
6	Galgaliel	Nephren B700 shield generator	0.01
6	Galgaliel	green etherium field crystal	0.17
6	Galgaliel	blue etherium field crystal	0.04
6	Galgaliel	decayed etherium field crystal	0.16
6	Galgaliel	molbidium field crystal	0.32
6	Galgaliel	diamond field crystal	0.02
6	Galgaliel	ShieldPower v3.1.8 algorithm cube	0.23
6	Galgaliel	ShieldPower v1.0 algorithm cube	0.05
6	Galgaliel	ShieldEfficiency v1.2.5 algorithm cube	0.19
6	Galgaliel	particle resistance coating	0.17
6	Galgaliel	monopole dust	0.63
6	Galgaliel	ion resistance coating	0.86
6	Galgaliel	meteorsteel dust	0.46
6	Galgaliel	dyon dust	0.07
6	Galgaliel	ithalium paste	0.07
6	Galgaliel	orthosteel nanos	0.12
6	Galgaliel	jinn-khan	1.54
6	Galgaliel	Icelandic salmon	0.12
6	Galgaliel	cyanavir	0.02
6	Galgaliel	CDM archive	0.02
6	Galgaliel	Neuros personal media player	0.14
6	Galgaliel	Ringer spice	0.06
6	Galgaliel	cryofrozen prime beef	0.30
6	Galgaliel	digital wrist computer	0.06
6	Galgaliel	portable autodoc	0.01
6	Galgaliel	Bariani olive oil	0.06
6	Galgaliel	tetramite ore	0.13
6	Galgaliel	crystalline uranium	0.02
6	Galgaliel	Ringer ambrosia	0.08
6	Galgaliel	cerusite crystal	0.03
6	Galgaliel	neuranase	0.46
6	Galgaliel	mark V howitzer	0.14
6	Galgaliel	Nova-50 reactor	0.04
6	Galgaliel	150NX reactor	0.04
6	Galgaliel	xenotite fuel rod	1.96
6	Galgaliel	hadron-vacuum fuel cell	0.27
6	Galgaliel	Mammoth 25MW deflector	0.41
6	Galgaliel	Mammoth 50MW deflector	0.22
6	Galgaliel	Mammoth 100MW deflector	0.02
6	Galgaliel	military map ROM	0.02
6	Galgaliel	Ares Campaign Ribbon	0.02
6	Galgaliel	Ares lightning cannon	0.02
6	Galgaliel	light Tharsis plate	0.47
6	Galgaliel	heavy Tharsis plate	0.07
6	Galgaliel	Ares micronuke cannon	0.01
6	Galgaliel	Ares micronuke	11.14
6	Galgaliel	Ares archcannon	0.01
6	Galgaliel	Cydonian shield generator	0.01
5	Gehenna	Heliotrope fuel cylinder	3.21
5	Gehenna	Luminous 5care algorithm	0.03
5	Gehenna	Luminous armature	0.04
5	Gehenna	Luminous particle shield	0.02
5	Gehenna	Luminous thermo shield	0.01
5	Gehenna	light titanium armor	0.01
5	Gehenna	heavy reactive armor	0.03
5	Gehenna	reactive armor	0.05
5	Gehenna	Duralloy armor	0.08
5	Gehenna	plasteel armor	0.69
5	Gehenna	carbide carapace	0.05
5	Gehenna	heavy plasteel armor	1.14
5	Gehenna	laser cannon	0.02
5	Gehenna	recoilless cannon	0.01
5	Gehenna	particle beam weapon	0.17
5	Gehenna	NAMI missile launcher	0.02
5	Gehenna	KM100 Longbow missile	6.01
5	Gehenna	XM300 Reaper missile	0.64
5	Gehenna	KM500 Stiletto missile	2.91
5	Gehenna	x-ray laser cannon	0.03
5	Gehenna	330M mule auton	0.02
5	Gehenna	XM900 Lucifer missile	1.67
5	Gehenna	calligraphy scroll	0.03
5	Gehenna	promethium crystal	0.01
5	Gehenna	310A aegis auton	0.04
5	Gehenna	heavy ceramic armor	0.10
5	Gehenna	kiloton cannon shell	0.56
5	Gehenna	patch spider	0.02
5	Gehenna	Scramble1.5 algorithm cube	0.04
5	Gehenna	Heisenmachines quantum CPU	0.08
5	Gehenna	hydrocarbons	1.25
5	Gehenna	water ice	2.55
5	Gehenna	frozen supplies	0.96
5	Gehenna	plasteel ore	0.13
5	Gehenna	spool of carbon fiber	0.03
5	Gehenna	Duralloy ore	0.19
5	Gehenna	medical supplies	0.61
5	Gehenna	pteracnium ore	3.53
5	Gehenna	biofactor paste	0.06
5	Gehenna	roll of hyperfiber	0.20
5	Gehenna	gold ore	0.04
5	Gehenna	platinum ore	0.03
5	Gehenna	Microsaur™	0.04
5	Gehenna	neutronium ore	0.04
5	Gehenna	omnidirectional laser cannon	0.02
5	Gehenna	class I deflector	0.01
5	Gehenna	class III deflector	0.02
5	Gehenna	helium³ fuel rod	18.24
5	Gehenna	ablative armor coating	0.02
5	Gehenna	organic acid	0.19
5	Gehenna	armor repair paste	0.05
5	Gehenna	defective visual display ROM	0.01
5	Gehenna	shield enhancement ROM	0.03
5	Gehenna	Titan 440 fusion drive	0.03
5	Gehenna	photo-organic armor	0.02
5	Gehenna	ceramic armor	0.07
5	Gehenna	Tempus syrette	1.38
5	Gehenna	bootleg Star Wars 3DV	0.07
5	Gehenna	Martian nori	0.96
5	Gehenna	laudanum ampule	0.61
5	Gehenna	fragmentation missile	8.28
5	Gehenna	targeting program ROM	0.02
5	Gehenna	light plasteel armor	0.07
5	Gehenna	SmartCannon round	20.68
5	Gehenna	DK10 Arbalest cannon	0.02
5	Gehenna	cannon accelerator	0.01
5	Gehenna	heavy titanium armor	0.04
5	Gehenna	turbolaser cannon	0.01
5	Gehenna	dual particle beam weapon	0.07
5	Gehenna	Dragonfly missile system	0.02
5	Gehenna	Dragonfly missile cartridge	5.60
5	Gehenna	Solon shield generator	0.01
5	Gehenna	Flenser relativistic cannon	0.04
5	Gehenna	polyceramic armor	0.41
5	Gehenna	Tevlar-composite armor	0.44
5	Gehenna	MAG launcher	0.04
5	Gehenna	400 Hexagene MAG	18.95
5	Gehenna	600 Hexagene MAG	15.80
5	Gehenna	800F Hexagene MAG	23.73
5	Gehenna	ZG24 Cluster MAG	2.82
5	Gehenna	3K Siege MAG	0.26
5	Gehenna	dual turbolaser cannon	0.02
5	Gehenna	dual Flenser cannon	0.01
5	Gehenna	EMP cannon	0.01
5	Gehenna	advanced reactive armor	0.11
5	Gehenna	hardened plasteel armor	0.25
5	Gehenna	solar armor	0.05
5	Gehenna	superconducting shield generator	0.02
5	Gehenna	superconducting coil	4.15
5	Gehenna	smuggler's cargo hold	0.01
5	Gehenna	heavy recoilless cannon	0.02
5	Gehenna	double titanium barricade	0.08
5	Gehenna	grade B grains	0.01
5	Gehenna	Stimuzine muscle-enhancers	0.02
5	Gehenna	Kennebec Salmonite	0.02
5	Gehenna	grade A grains	0.16
5	Gehenna	neolinen	0.04
5	Gehenna	Martian Merlot	0.04
5	Gehenna	frozen synthetic chicken	0.04
5	Gehenna	Red Nebula beer	0.08
5	Gehenna	Eridani mineral water	0.15
5	Gehenna	photocotton	0.05
5	Gehenna	Europan Ice vodka	0.02
5	Gehenna	frozen megathere meat	0.14
5	Gehenna	neolinen business suit	0.01
5	Gehenna	palladium ore	0.19
5	Gehenna	Segway antigrav platform	0.01
5	Gehenna	Centauri rice	0.06
5	Gehenna	Kobe spring water	0.20
5	Gehenna	silk	0.03
5	Gehenna	Bombay Sapphire gin	0.02
5	Gehenna	California Cabernet Sauvignon	0.02
5	Gehenna	Terran eggs	0.10
5	Gehenna	frozen Hogei salmon	0.04
5	Gehenna	dried Europan ice moss	0.20
5	Gehenna	tailored silk suit	0.03
5	Gehenna	Misato sake	0.11
5	Gehenna	Exile Starport Champagne	0.06
5	Gehenna	Hennessy cognac	0.02
5	Gehenna	frozen natural ham	0.43
5	Gehenna	longzhu sphere	0.05
5	Gehenna	Qianlong archcannon	0.01
5	Gehenna	Humagen heart and lungs prosthesis	0.03
5	Gehenna	natural periweed	0.11
5	Gehenna	genuine leather boots	0.12
5	Gehenna	Rowena's Weapons and Armor: Volume II	0.01
5	Gehenna	Rowena's Weapons and Armor: Volume III	0.02
5	Gehenna	quad titanium barricade	0.04
5	Gehenna	helium³ reactor assembly	8.19
5	Gehenna	pteracnium fuel rod	0.43
5	Gehenna	weapon enhancement ROM	0.02
5	Gehenna	Katana star cannon	0.15
5	Gehenna	TK10 Trident cannon	0.01
5	Gehenna	fast-fire laser cannon	0.01
5	Gehenna	slam cannon	0.05
5	Gehenna	patcher arm	0.03
5	Gehenna	heavy water	0.19
5	Gehenna	visual display enhancement ROM	0.04
5	Gehenna	decon gel	0.04
5	Gehenna	radioactive waste	0.81
5	Gehenna	blast plate	0.77
5	Gehenna	Akan 30 cannon	0.07
5	Gehenna	Akan 30 cannon shell cartridge	26.88
5	Gehenna	hardened reactive armor	0.23
5	Gehenna	DM600 missile rack	0.01
5	Gehenna	fusion trigger	0.39
5	Gehenna	Commonwealth Medal of Distinction	0.01
5	Gehenna	Commonwealth Medal of Honor	0.01
5	Gehenna	lancer cannon	0.06
5	Gehenna	mark I howitzer	0.05
5	Gehenna	Yoroi S100 shield generator	0.10
5	Gehenna	Yoroi S500 shield generator	0.10
5	Gehenna	Yoroi MX shield generator	0.04
5	Gehenna	Gusoku armor	0.40
5	Gehenna	sunflare cannon	0.05
5	Gehenna	Shuriken neutron blaster	0.03
5	Gehenna	Nandao bolt cannon	0.09
5	Gehenna	Nandao bolt cartridge	55.59
5	Gehenna	Akan 600 turret	0.01
5	Gehenna	Hanzo blaster	0.01
5	Gehenna	mark III howitzer	0.09
5	Gehenna	TeV 9 blaster	0.01
5	Gehenna	light meteorsteel	0.02
5	Gehenna	heavy meteorsteel	0.09
5	Gehenna	ICX missile defense turret	0.05
5	Gehenna	worldship armor plate	0.06
5	Gehenna	Gotha-10 missile	0.24
5	Gehenna	1M/i battle auton	0.05
5	Gehenna	omnidirectional particle cannon	0.08
5	Gehenna	AutoSentinel®	0.09
5	Gehenna	300D defender auton	0.02
5	Gehenna	1M battle auton	0.06
5	Gehenna	blue cash card	0.01
5	Gehenna	platinum cash card	0.02
5	Gehenna	defective auton	0.09
5	Gehenna	artificial plasma	0.52
5	Gehenna	rejuv tank fluid	0.02
5	Gehenna	gem of despair	0.02
5	Gehenna	optical knowledge array	0.07
5	Gehenna	R1 deflector	0.02
5	Gehenna	PK25 Morning Star cannon	0.02
5	Gehenna	xenotite ore	5.22
5	Gehenna	chronimium gas	2.79
5	Gehenna	vessel of boson condensate	0.05
5	Gehenna	Booster	0.51
5	Gehenna	gram of unlicensed cancer dust	0.72
5	Gehenna	Nova-25 reactor	0.01
5	Gehenna	Nova-100 reactor	0.03
5	Gehenna	death cube	0.02
5	Gehenna	thermo cannon shell cartridge	2.88
5	Gehenna	omnidirectional turbolaser cannon	0.04
5	Gehenna	heavy slam cannon	0.10
5	Gehenna	Makayev launcher	0.23
5	Gehenna	White Strelka missile	39.03
5	Gehenna	Green Strelka missile	16.52
5	Gehenna	Red Strelka missile	4.55
5	Gehenna	White Strelka ammunition box	0.11
5	Gehenna	Cluster MAG ammunition box	0.17
5	Gehenna	contaminated ammunition box	0.05
5	Gehenna	booby-trapped ammunition box	0.02
5	Gehenna	tritium cannon	0.03
5	Gehenna	NAMI mine launcher	0.01
5	Gehenna	advanced plasteel armor	0.28
5	Gehenna	orthosteel armor	0.04
5	Gehenna	ceralloy armor	0.56
5	Gehenna	heavy ceralloy armor	0.19
5	Gehenna	advanced ceralloy armor	0.12
5	Gehenna	quadrocarbide armor	0.02
5	Gehenna	hexacarbide armor	0.03
5	Gehenna	light blast plate	0.33
5	Gehenna	heavy blast plate	0.07
5	Gehenna	ceralloy ore	0.21
5	Gehenna	orthosteel ore	0.18
5	Gehenna	Nephren P25 shield generator	0.05
5	Gehenna	green etherium field crystal	0.09
5	Gehenna	decayed etherium field crystal	0.02
5	Gehenna	molbidium field crystal	0.04
5	Gehenna	diamond field crystal	0.01
5	Gehenna	ShieldPower v3.1.8 algorithm cube	0.05
5	Gehenna	ShieldPower v1.0 algorithm cube	0.02
5	Gehenna	ShieldEfficiency v1.2.5 algorithm cube	0.07
5	Gehenna	particle resistance coating	0.07
5	Gehenna	anti-radiation coating	0.03
5	Gehenna	monopole dust	0.11
5	Gehenna	ion resistance coating	0.16
5	Gehenna	meteorsteel dust	0.10
5	Gehenna	dyon dust	0.03
5	Gehenna	jinn-khan	0.08
5	Gehenna	CDM archive	0.01
5	Gehenna	Neuros personal media player	0.01
5	Gehenna	digital wrist computer	0.02
5	Gehenna	portable autodoc	0.02
5	Gehenna	neuranase	0.07
5	Gehenna	mark V howitzer	0.03
5	Gehenna	Nova-50 reactor	0.01
5	Gehenna	xenotite fuel rod	0.45
5	Gehenna	Mammoth 25MW deflector	0.07
5	Gehenna	Mammoth 50MW deflector	0.03
5	Gehenna	military map ROM	0.02
5	Gehenna	light Tharsis plate	0.25
5	Gehenna	Cydonian shield generator	0.01
8	Gorgon	Heliotrope fuel cylinder	0.24
8	Gorgon	Luminous 7ame algorithm	0.13
8	Gorgon	Luminous 5care algorithm	1.70
8	Gorgon	Luminous armature	0.33
8	Gorgon	ion blaster	0.08
8	Gorgon	Luminous particle shield	0.01
8	Gorgon	Luminous blast shield	0.01
8	Gorgon	Luminous ion shield	0.03
8	Gorgon	Luminous thermo shield	0.01
8	Gorgon	light titanium armor	0.07
8	Gorgon	heavy reactive armor	0.03
8	Gorgon	reactive armor	0.18
8	Gorgon	Duralloy armor	0.26
8	Gorgon	plasteel armor	0.06
8	Gorgon	stealth armor	0.03
8	Gorgon	carbide carapace	0.09
8	Gorgon	heavy plasteel armor	0.32
8	Gorgon	transuranic armor	0.01
8	Gorgon	laser cannon	0.01
8	Gorgon	recoilless cannon	0.01
8	Gorgon	NAMI missile launcher	0.02
8	Gorgon	KM100 Longbow missile	3.98
8	Gorgon	XM300 Reaper missile	0.05
8	Gorgon	KM500 Stiletto missile	2.02
8	Gorgon	plasma cannon	0.02
8	Gorgon	XM900 Lucifer missile	0.72
8	Gorgon	calligraphy scroll	0.01
8	Gorgon	promethium crystal	0.03
8	Gorgon	310A aegis auton	0.03
8	Gorgon	heavy ceramic armor	0.04
8	Gorgon	kiloton cannon shell	43.64
8	Gorgon	patch spider	0.03
8	Gorgon	kiloton cannon	0.30
8	Gorgon	Scramble1.5 algorithm cube	0.43
8	Gorgon	Heisenmachines quantum CPU	0.02
8	Gorgon	titanium ore	0.17
8	Gorgon	hydrocarbons	0.52
8	Gorgon	water ice	1.05
8	Gorgon	frozen supplies	0.39
8	Gorgon	plasteel ore	0.07
8	Gorgon	spool of carbon fiber	0.13
8	Gorgon	Duralloy ore	0.40
8	Gorgon	medical supplies	0.07
8	Gorgon	pteracnium ore	1.35
8	Gorgon	uranium rod	0.03
8	Gorgon	biofactor paste	0.06
8	Gorgon	roll of hyperfiber	0.24
8	Gorgon	platinum ore	0.25
8	Gorgon	human organ	0.20
8	Gorgon	Microsaur™	0.11
8	Gorgon	neutronium ore	0.66
8	Gorgon	omnidirectional laser cannon	0.02
8	Gorgon	class I deflector	0.01
8	Gorgon	class II deflector	0.03
8	Gorgon	plasma shield generator	0.04
8	Gorgon	Trenton field generator	0.01
8	Gorgon	helium³ fuel rod	10.11
8	Gorgon	ablative armor coating	0.01
8	Gorgon	carbon-weaver nanos	0.03
8	Gorgon	degenerating nanos	0.12
8	Gorgon	organic acid	0.22
8	Gorgon	reactive armor coating	0.04
8	Gorgon	reflective armor coating	0.01
8	Gorgon	repairing nanos	0.08
8	Gorgon	armor repair paste	0.18
8	Gorgon	defective visual display ROM	0.04
8	Gorgon	shield enhancement ROM	0.04
8	Gorgon	autopilot ROM	0.01
8	Gorgon	system map ROM	0.01
8	Gorgon	tritium propulsion upgrade	0.01
8	Gorgon	Titan 440 fusion drive	0.09
8	Gorgon	ceramic armor	0.04
8	Gorgon	diamond lattice armor	0.17
8	Gorgon	Tempus syrette	1.88
8	Gorgon	bootleg Star Wars 3DV	0.08
8	Gorgon	Martian nori	1.30
8	Gorgon	laudanum ampule	1.41
8	Gorgon	titanium armor	0.07
8	Gorgon	fragmentation missile	0.62
8	Gorgon	light plasteel armor	0.22
8	Gorgon	SmartCannon round	11.71
8	Gorgon	Bolide laser blaster	0.01
8	Gorgon	DK10 Arbalest cannon	0.02
8	Gorgon	cannon accelerator	0.02
8	Gorgon	heavy titanium armor	0.20
8	Gorgon	turbolaser cannon	0.02
8	Gorgon	dual particle beam weapon	0.19
8	Gorgon	Dragonfly missile system	0.05
8	Gorgon	Dragonfly missile cartridge	12.44
8	Gorgon	XMH armor	0.04
8	Gorgon	Solon shield generator	0.01
8	Gorgon	polyceramic armor	0.08
8	Gorgon	Tevlar-composite armor	0.03
8	Gorgon	small armor patch	0.13
8	Gorgon	large armor patch	0.17
8	Gorgon	MAG launcher	0.02
8	Gorgon	400 Hexagene MAG	3.95
8	Gorgon	600 Hexagene MAG	4.65
8	Gorgon	800F Hexagene MAG	14.85
8	Gorgon	ZG24 Cluster MAG	8.51
8	Gorgon	3K Siege MAG	1.26
8	Gorgon	high-flux MAG	0.37
8	Gorgon	dual Flenser cannon	0.07
8	Gorgon	EMP cannon	0.01
8	Gorgon	actinide waste cannon	0.01
8	Gorgon	cargo hold expansion	0.02
8	Gorgon	hardened plasteel armor	0.09
8	Gorgon	solar armor	0.01
8	Gorgon	superconducting shield generator	0.01
8	Gorgon	superconducting coil	2.47
8	Gorgon	solar panel array	0.01
8	Gorgon	smuggler's cargo hold	0.02
8	Gorgon	heavy recoilless cannon	0.01
8	Gorgon	double titanium barricade	0.13
8	Gorgon	grade B grains	0.37
8	Gorgon	white rice	0.16
8	Gorgon	Stimuzine muscle-enhancers	0.02
8	Gorgon	cask of Venusian Hellas rum	0.03
8	Gorgon	frozen beef cylinders	0.09
8	Gorgon	Kennebec Salmonite	0.28
8	Gorgon	Charles River sparkling water	0.05
8	Gorgon	grade A grains	0.04
8	Gorgon	frozen synthetic chicken	0.06
8	Gorgon	Red Nebula beer	0.17
8	Gorgon	Eridani mineral water	0.14
8	Gorgon	photocotton	0.02
8	Gorgon	Australian Chardonnay	0.01
8	Gorgon	Europan Ice vodka	0.22
8	Gorgon	frozen megathere meat	0.14
8	Gorgon	neolinen business suit	0.03
8	Gorgon	palladium ore	0.13
8	Gorgon	Centauri rice	0.25
8	Gorgon	Kobe spring water	0.06
8	Gorgon	silk	0.03
8	Gorgon	California Cabernet Sauvignon	0.14
8	Gorgon	Terran eggs	0.21
8	Gorgon	dried Europan ice moss	0.94
8	Gorgon	tailored silk suit	0.02
8	Gorgon	Misato sake	0.29
8	Gorgon	Exile Starport Champagne	0.06
8	Gorgon	Hennessy cognac	0.05
8	Gorgon	frozen natural ham	0.36
8	Gorgon	longzhu sphere	0.24
8	Gorgon	Qianlong archcannon	0.05
8	Gorgon	natural periweed	0.18
8	Gorgon	genuine leather boots	0.15
8	Gorgon	Rowena's Weapons and Armor: Volume I	0.02
8	Gorgon	Rowena's Weapons and Armor: Volume II	0.01
8	Gorgon	Rowena's Weapons and Armor: Volume III	0.43
8	Gorgon	titanium barricade	0.03
8	Gorgon	helium³ reactor assembly	59.39
8	Gorgon	pteracnium fuel rod	28.08
8	Gorgon	weapon enhancement ROM	0.02
8	Gorgon	Katana star cannon	0.02
8	Gorgon	TK10 Trident cannon	0.01
8	Gorgon	hull plate ionizer	0.01
8	Gorgon	fast-fire laser cannon	0.01
8	Gorgon	AK15 Partisan cannon	0.01
8	Gorgon	laser cannon array	0.01
8	Gorgon	slam cannon	0.01
8	Gorgon	heavy water	0.38
8	Gorgon	visual display enhancement ROM	0.09
8	Gorgon	decon gel	0.07
8	Gorgon	radioactive waste	0.03
8	Gorgon	blast plate	0.57
8	Gorgon	Akan 30 cannon	0.51
8	Gorgon	Akan 30 cannon shell cartridge	1034.88
8	Gorgon	hardened reactive armor	0.18
8	Gorgon	fusion trigger	0.11
8	Gorgon	Commonwealth Medal of Distinction	0.02
8	Gorgon	lancer cannon	0.05
8	Gorgon	Yoroi S100 shield generator	0.03
8	Gorgon	Yoroi MX shield generator	0.06
8	Gorgon	Gusoku armor	0.12
8	Gorgon	sunflare cannon	0.01
8	Gorgon	Shuriken neutron blaster	0.01
8	Gorgon	Nandao bolt cannon	0.01
8	Gorgon	Nandao bolt cartridge	24.20
8	Gorgon	Hanzo blaster	0.05
8	Gorgon	mark III howitzer	0.21
8	Gorgon	TeV 9 blaster	0.02
8	Gorgon	heavy meteorsteel	0.02
8	Gorgon	ICX missile defense turret	0.02
8	Gorgon	worldship armor plate	0.04
8	Gorgon	gem of contrition	0.06
8	Gorgon	Rasiermesser launcher	0.04
8	Gorgon	Gotha-10 missile	7.66
8	Gorgon	Gotha-400 seeker	6.89
8	Gorgon	P120 Hexphase armor	0.11
8	Gorgon	P210 Hexphase armor	0.05
8	Gorgon	1M/i battle auton	0.04
8	Gorgon	transpace jumpdrive	0.06
8	Gorgon	omnidirectional particle cannon	0.01
8	Gorgon	AutoSentinel®	0.05
8	Gorgon	platinum cash card	0.01
8	Gorgon	defective auton	0.01
8	Gorgon	hypermycin	0.18
8	Gorgon	artificial plasma	0.30
8	Gorgon	rejuv tank fluid	0.44
8	Gorgon	gem of despair	0.07
8	Gorgon	optical knowledge array	0.35
8	Gorgon	plasma torch	0.06
8	Gorgon	PK25 Morning Star cannon	0.01
8	Gorgon	uranium ore	0.17
8	Gorgon	cobalt-thorium ore	0.01
8	Gorgon	xenotite ore	2.78
8	Gorgon	chronimium gas	1.17
8	Gorgon	vessel of boson condensate	0.46
8	Gorgon	quantum vacuum	0.40
8	Gorgon	hadron archeolith	0.19
8	Gorgon	Booster	0.90
8	Gorgon	gram of unlicensed cancer dust	0.88
8	Gorgon	Nova-100 reactor	0.01
8	Gorgon	SN2500 reactor	0.01
8	Gorgon	inertialess drive	0.07
8	Gorgon	dual TeV 9 blaster	0.03
8	Gorgon	ion disruptor	0.01
8	Gorgon	death cube	0.12
8	Gorgon	thermo cannon	0.08
8	Gorgon	thermo cannon shell cartridge	13.86
8	Gorgon	omnidirectional turbolaser cannon	0.01
8	Gorgon	omnidirectional TeV 9 blaster	0.01
8	Gorgon	omnidirectional thermo cannon	0.01
8	Gorgon	omnidirectional ion blaster	0.02
